상품번호,계정,판매자코드,상품명,광고비,광고전환ROAS%,실매출,실ROAS%,클릭
4438040222,rejoice234,LCE_SX_L8814085_17,(일반형 플라스틱 | 3단 특대) 플라스틱써빙카트 ,0,0,335808,0,0
3692046148,rejoice567,WE287A6,무소음 벽시계 사무실 교실 인테리어용품 블랙 40c,0,0,335247,0,0
4165175718,rejoice999,WE287A6,무소음 벽시계 사무실 교실 인테리어용품 블랙 40c,0,0,335247,0,0
4306171847,rejoice666,W265D0E,흔들말 블루 아기 유아 장난감 말 말타기 시소,616,61837.7,334500,54301.9,1
4202191843,rejoice321,LCE_SX_L0956314_00,곤충블럭 24개/레고/블럭/단체/선물/어린이/아기/,2101,0.0,331016,15755.2,4
3804205947,rejoice666,WBC800D,사다리 안전 보강대 전도방지대 지지대 아웃트리커 사,682,0.0,327788,48062.8,2
4165152265,rejoice999,WBC800D,사다리 안전 보강대 전도방지대 지지대 아웃트리커,2574,15035.0,327788,12734.6,3
4365571856,dlwodbs222,WBC800D,사다리 안전 보강대 전도방지대 지지대 아웃트리커 트,0,0,327788,0,0
4195497824,dlwodb888,WB76108,피죤 섬유유연제 핑크로즈 20L 말통 피죤 세제 섬,550,26345.5,323462,58811.3,1
4365540470,rejoice222,WB76108,피죤 섬유유연제 핑크로즈 20L 말통 세제 빨래,1474,0.0,323462,21944.5,2
4626132517,rejoice222,WB76108,피죤 섬유유연제 핑크로즈 20L 말통 피죤세제 빨래,440,9440.9,323462,73514.1,1
4059358462,rejoice999,W4E18FF,19V 1.7A LG LED 모니터 호환 어댑터 컴,1617,21285.7,319103,19734.3,4
4165151276,rejoice999,W9A36DF,산도깨비 유리세척제 600ml 12개 유리세정제,0,0,317732,0,0
4620560591,rejoice222,W9A36DF,산도깨비 다용도 유리 세정제 창문 자동차 600ml,319,9608.2,317732,99602.5,1
4599823836,rejoice567,W9F7264,표백비누 230g x 32개 (1BOX) 무궁화 빨,0,0,317384,0,0
4144905697,rejoice987,WB38484,멀티 락스퐁 18.75L 사우나 욕실 화장실 바닥청,0,0,315119,0,0
4175986655,rejoice321,LCE_MX_L5978912,A4 자석 클립보드 서류판 결재판 사무용 가죽 파일,1188,30159.9,310221,26112.9,2
4218555264,tmxkql111,LCE_SX_L6939229_00,백상지A1(Papidro 610x45m))/cad용,0,0,302621,0,0
4384929536,dlwodb888,WE592CE,부적카드세트(2개),0,0,300472,0,0
4380082560,dlwodb888,WDE81D2,레고 염소 보트 레고블럭 어린이 장난감 선물,495,68747.5,299360,60476.8,1
4620551147,rejoice222,WEB3DC2,현관 신발정리대 신발장 슈즈홀더 슈즈렉 4단 6단,550,2370.9,291119,52930.7,1
4626496679,rejoice222,WC08F83,배드민턴화 여성 남성 초경량 운동화 배구화 스쿼시화,759,0.0,289490,38141.0,2
4384911271,dlwodb888,W7AE7F8,드롱기 커피그라인더 KG-89,1815,0.0,288754,15909.3,4
4384913530,dlwodb888,W7AE7F8,드롱기 커피그라인더 KG-89,880,0.0,288754,32813.0,2
4460790886,rejoice444,W7AE7F8,드롱기 커피그라인더 KG-89,979,0.0,288754,29494.8,2
4599813646,rejoice987,W7AE7F8,드롱기 커피그라인더 KG-89,264,0.0,288754,109376.5,2
4296258233,dlwodb000,LCE_SX_L5564438_00,GBC 코팅기 라미네이터 INSPIRE PLUS A,550,59272.7,286520,52094.5,1
